RXN	1_upper_euphotic
ALANINE-AMINOTRANSFERASE-RXN	1
RXN0-1382	2
RXN-8850	2
R231-RXN	2
ACETYL-COA-CARBOXYLTRANSFER-RXN	8
ALANINE--TRNA-LIGASE-RXN	4
ISOCITRATE-DEHYDROGENASE-NAD+-RXN	9
RXN1G-358	1
GTP-CYCLOHYDRO-II-RXN	2
CPM-KDOSYNTH-RXN	2
RXN-37	7
1.1.1.51-RXN	2
RXN0-1134	6
RXN66-362	2
MALSYN-RXN	6
ACETOLACTSYN-RXN	8
RXN-8141	7
ACETOLACTREDUCTOISOM-RXN	4
GKI-RXN	2
RXN0-4621	3
RXN0-4641	1
PGLUCISOM-RXN	1
ADENYL-KIN-RXN	2
THREONINE-ALDOLASE-RXN	1
BADH-RXN	1
MALIC-NAD-RXN	1
PROLINE--TRNA-LIGASE-RXN	3
PHOSPHASERSYN-RXN	1
PYRROLINECARBREDUCT-RXN	2
CARBPSYN-RXN	1
PHOSPHASERDECARB-RXN	2
GLUTKIN-RXN	1
FADSYN-RXN	1
PRAISOM-RXN	1
2.3.1.179-RXN	1
RXN1G-203	1
KETOACYLCOATHIOL-RXN	2
SERINE--GLYOXYLATE-AMINOTRANSFERASE-RXN	2
UDPREDUCT-RXN	1
F16BDEPHOS-RXN	1
GALPMUT-RXN	4
METHIONINE--TRNA-LIGASE-RXN	4
CYSTEINE--TRNA-LIGASE-RXN	1
OHACYL-COA-DEHYDROG-RXN	7
RXN-8979	2
3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN	1
2.6.1.18-RXN	2
HOMOCYSMET-RXN	3
VALINE--TRNA-LIGASE-RXN	3
RXN0-6377	2
RXN-11717	5
TRANSALDOL-RXN	3
RXN-7567	1
GLU6PDEHYDROG-RXN	3
DEPHOSPHOCOAKIN-RXN	8
HOLO-ACP-SYNTH-RXN	1
3-HYDROXY-KYNURENINASE-RXN	1
RXN0-2141	8
CHORISMATEMUT-RXN	1
PMPOXI-RXN	2
RXN0-2301	2
DIAMINOPIMDECARB-RXN	7
FORMATE-DEHYDROGENASE-NADP+-RXN	5
2-OCTAPRENYLPHENOL-HYDROX-RXN	3
ALANINE-DEHYDROGENASE-RXN	3
2TRANSKETO-RXN	6
GLUTATHIONE-REDUCT-NADPH-RXN	2
RXN0-882	1
NAD-SYNTH-NH3-RXN	3
5.4.2.10-RXN	3
PYRUVDEH-RXN	5
SARCOX-RXN	2
2-NITROPROPANE-DIOXYGENASE-RXN	8
ACYLCOADEHYDROG-RXN	26
DTMPKI-RXN	2
6-HYDROXYNICOTINATE-REDUCTASE-RXN	1
4.2.1.99-RXN	2
UDP-NACMURALA-GLU-LIG-RXN	2
PEPCARBOXYKIN-RXN	4
RXN-7716	7
R23-RXN	9
MALATE--COA-LIGASE-RXN	2
SERINE-O-ACETTRAN-RXN	2
HYPOXANPRIBOSYLTRAN-RXN	3
THREONINE--TRNA-LIGASE-RXN	3
3.1.6.4-RXN	2
GLUTDEHYD-RXN	18
ASNSYNB-RXN	2
ENOYL-COA-HYDRAT-RXN	16
LEUCINE--TRNA-LIGASE-RXN	9
RXN-7904	11
SUCC-FUM-OXRED-RXN	7
ALDOSE1EPIM-RXN	2
ALANINE--GLYOXYLATE-AMINOTRANSFERASE-RXN	2
RXN1F-357	1
PRPPAMIDOTRANS-RXN	6
RXN-9514	1
4-HYDROXYBENZOATE-3-MONOOXYGENASE-RXN	1
N-ACETYLNEURAMINATE-SYNTHASE-RXN	1
METHYLACYLYLCOA-HYDROXY-RXN	16
RXN0-5390	1
OHMETHYLBILANESYN-RXN	3
RXN0-884	1
1.97.1.2-RXN	2
ACONITATEHYDR-RXN	2
NADH-DEHYDROG-A-RXN	10
GLUTDECARBOX-RXN	2
GTP-CYCLOHYDRO-I-RXN	1
1.5.1.20-RXN	1
GLUTAMATE-DEHYDROGENASE-RXN	1
GLUCOKIN-RXN	1
DGDPKIN-RXN	4
PRPPSYN-RXN	3
2-ISOPROPYLMALATESYN-RXN	5
RXN-9540	1
PHENYLALANINE--TRNA-LIGASE-RXN	11
R310-RXN	1
CDPKIN-RXN	4
RXN-8730	1
DIHYDROXYMETVALDEHYDRAT-RXN	5
2-OH-6-OXOHEPTA-2-4-DIENOATE-HYDR-RXN	1
GLUTAMATE-N-ACETYLTRANSFERASE-RXN	1
FORMYLTHFDEFORMYL-RXN	3
RXN-721	1
CYSPH-RXN	1
PGPPHOSPHA-RXN	1
SUCCGLUALDDEHYD-RXN	7
BRANCHED-CHAINAMINOTRANSFERILEU-RXN	3
ACYLCOASYN-RXN	11
RXN0-5507	1
3-HYDROXYISOBUTYRATE-DEHYDROGENASE-RXN	1
RXN-5282	1
PEPSYNTH-RXN	2
2.3.1.157-RXN	1
RXN-5682	1
RXN-9524	1
ACETYLSYNCLTH-RXN	2
SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN	9
R502-RXN	1
ADENYLOSUCCINATE-SYNTHASE-RXN	2
GDPREDUCT-RXN	1
RXN-9086	1
3-OXOACYL-ACP-SYNTH-RXN	8
ACETALD-DEHYDROG-RXN	7
DHLAXANAU-RXN	1
TRYPTOPHAN-AMINOTRANSFERASE-RXN	2
ASPARTATE--TRNA-LIGASE-RXN	5
1.2.1.9-RXN	1
5-METHYLTHIORIBOSE-KINASE-RXN	1
RXN-10827	1
ADPREDUCT-RXN	1
DIAMINOPIMEPIM-RXN	1
PYRUVATE-CARBOXYLASE-RXN	1
RXN0-1342	2
MONOPHENOL-MONOOXYGENASE-RXN	2
GLUTAMATESYN-RXN	14
THYM-PHOSPH-RXN	1
UDPNACETYLMURAMATEDEHYDROG-RXN	1
ADENINE-DEAMINASE-RXN	1
RXN-9552	1
3PGAREARR-RXN	3
DTDPGLUCDEHYDRAT-RXN	1
DLACTDEHYDROGNAD-RXN	1
METHELENE-THMPT-OXI-RXN	1
PORPHOBILSYNTH-RXN	2
NICOTINATEPRIBOSYLTRANS-RXN	1
6.3.5.6-RXN	2
METHYLENETHFDEHYDROG-NADP-RXN	1
MYO-INOSITOL-2-DEHYDROGENASE-RXN	1
UDPKIN-RXN	4
